x_1,x_2,y
3.7594805000465783,7.507939701616115,0.0
3.4220570555202485,4.991202667569616,0.0
2.7788175125407464,4.112070820485299,0.0
4.0180657162030275,5.653732126608023,0.0
1.8060621641384869,4.685965784248267,0.0
2.88230241972612,5.12357308170437,0.0
3.1899993708621186,5.424745576592877,0.0
2.10442598944886,2.4803226142533026,0.0
1.7710321497490145,3.0594023193488606,0.0
3.397403655625287,5.148616344692475,0.0
1.2879058625743722,4.372323239688888,0.0
4.31919900621908,5.564800448509735,0.0
1.9117648639551206,3.8088636170754584,0.0
4.0930285752059685,4.0929646238409045,0.0
4.655769399600416,5.442188483745667,0.0
1.8012505267339727,3.5631630438259916,0.0
0.45885649586485755,2.2299507250461166,0.0
3.595796893612963,5.043975302870958,0.0
3.4103805189279726,4.815222317660775,0.0
2.411747816261121,3.339566756770233,0.0
3.086661798418922,5.1606894650097805,0.0
3.923305819446453,4.826405400096808,0.0
3.685687048917745,4.705914217112356,0.0
3.6623494808538046,5.28270536731148,0.0
3.590384375277864,4.7531688224984405,0.0
2.8133282185452577,2.71313801044301,0.0
3.111233540077091,2.5940063455833666,0.0
3.935613941094504,4.550726123721057,0.0
3.1498811096429655,6.281834432853625,0.0
2.3170819649090584,3.0734082267088096,0.0
4.833652631815504,5.183028329690549,0.0
4.0379941317163155,6.131614130199436,0.0
5.094910612762403,6.215570714803656,0.0
3.3709935508706375,5.030637948419549,0.0
2.1566529038612936,4.644719082781547,0.0
1.2839020099683125,3.212598514961114,0.0
2.494425936284167,3.8502461209569745,0.0
5.5572438956929435,6.188146715530865,0.0
4.20111935915495,6.217406311427932,0.0
3.3692051688247338,4.44033537372672,0.0
1.8663599833381974,2.9014735920561137,0.0
2.6786144757116483,3.724612927812231,0.0
3.499738467746405,5.39744250935539,0.0
2.758694275535139,4.392898120770459,0.0
3.6882435569629095,4.294003596047767,0.0
2.333509115571229,5.1193019584746295,0.0
3.6058746047259254,6.109382058777901,0.0
3.653954730309667,3.1807797179526944,0.0
2.710339585888491,3.2870068682789695,0.0
3.60512457713591,5.112978498401455,0.0
1.7534332273371005,3.313015227104417,0.0
4.066526961984156,4.8985027386378945,0.0
2.0592627885667474,4.29593551613377,0.0
3.6666347004280846,3.9600302697496694,0.0
